"","LocID","Location","VarID","Variant","Time","MidPeriod","PopMale","PopFemale","PopTotal","PopDensity"
"129206",417,"Kyrgyzstan",2,"Medium",2019,2019.5,3173.902,3241.949,6415.851,33.451
"130090",2087,"LLDC: Africa",2,"Medium",2019,2019.5,165093.74,167168.748,332262.488,39.827
"130241",2088,"LLDC: Asia",2,"Medium",2019,2019.5,80825.188,83200.558,164025.746,24.641
"130392",2089,"LLDC: Europe",2,"Medium",2019,2019.5,2980.153,3146.563,6126.716,105.506
"130543",2090,"LLDC: Latin America",2,"Medium",2019,2019.5,9360.499,9197.242,18557.741,12.534
"130694",1607,"Land-locked Countries",2,"Medium",2019,2019.5,288538.949,294801.328,583340.277,33.976
"130845",1674,"Land-locked Countries (Others)",2,"Medium",2019,2019.5,30279.369,32088.217,62367.586,98.771
"130996",1636,"Land-locked Developing Countries (LLDC)",2,"Medium",2019,2019.5,258259.58,262713.111,520972.691,31.502
"131880",418,"Lao People's Democratic Republic",2,"Medium",2019,2019.5,3599.028,3570.428,7169.456,31.064
"132833",904,"Latin America and the Caribbean",2,"Medium",2019,2019.5,318803.128,329317.828,648120.956,32.182
"132834",1830,"Latin America and the Caribbean",2,"Medium",2019,2019.5,318803.128,329317.828,648120.956,32.182
"134532",1532,"Latin American Integration Association (ALADI)",2,"Medium",2019,2019.5,279703.641,288992.904,568696.545,29.715
"134683",1826,"Latin American and Caribbean Group (GRULAC)",2,"Medium",2019,2019.5,316600.441,326873.734,643474.175,32.125
"134834",428,"Latvia",2,"Medium",2019,2019.5,877.948,1028.792,1906.74,30.655
"135718",1559,"League of Arab States (LAS, informal name: Arab League)",2,"Medium",2019,2019.5,221900.697,206265.692,428166.389,32.909
"135869",941,"Least developed countries",2,"Medium",2019,2019.5,513951.412,519437.456,1033388.868,51.315
"136753",1475,"Least developed: Africa",2,"Medium",2019,2019.5,339345.341,343065.281,682410.622,38.991
"136904",1476,"Least developed: Asia",2,"Medium",2019,2019.5,168492.352,170123.849,338616.201,131.863
"137055",1477,"Least developed: Latin America and the Caribbean",2,"Medium",2019,2019.5,5557.596,5705.483,11263.079,408.675
"137206",1478,"Least developed: Oceania",2,"Medium",2019,2019.5,556.123,542.843,1098.966,26.791
"137357",422,"Lebanon",2,"Medium",2019,2019.5,3449.246,3406.463,6855.709,670.157
"138241",426,"Lesotho",2,"Medium",2019,2019.5,1047.944,1077.323,2125.267,70.002
"139125",902,"Less developed regions",2,"Medium",2019,2019.5,3270017.937,3172819.948,6442837.885,79.544
"140009",948,"Less developed regions, excluding China",2,"Medium",2019,2019.5,2518843.362,2458360.347,4977203.709,69.541
"140893",934,"Less developed regions, excluding least developed countries",2,"Medium",2019,2019.5,2756066.525,2653382.492,5409449.017,88.885
"141777",1479,"Less developed: Africa",2,"Medium",2019,2019.5,653513.68,654550.496,1308064.176,44.119
"141928",1480,"Less developed: Asia",2,"Medium",2019,2019.5,2291515.935,2182995.032,4474510.967,145.899
"142079",1481,"Less developed: Latin America and the Caribbean",2,"Medium",2019,2019.5,318803.128,329317.828,648120.956,32.182
"142230",1482,"Less developed: Oceania",2,"Medium",2019,2019.5,6185.194,5956.592,12141.786,22.449
"142381",430,"Liberia",2,"Medium",2019,2019.5,2481.116,2456.258,4937.374,51.26
"143265",434,"Libya",2,"Medium",2019,2019.5,3422.619,3354.834,6777.453,3.852
"144149",438,"Liechtenstein",2,"Medium",2019,2019.5,NA,NA,38.02,237.625
"145033",440,"Lithuania",2,"Medium",2019,2019.5,1276.477,1483.154,2759.631,44.032
"145917",1500,"Low-income countries",2,"Medium",2019,2019.5,375045.225,380804.516,755849.741,50.919
"146801",1501,"Lower-middle-income countries",2,"Medium",2019,2019.5,1559059.913,1498648.971,3057708.884,142.498
"147685",442,"Luxembourg",2,"Medium",2019,2019.5,311.11,304.62,615.73,237.734
"148569",450,"Madagascar",2,"Medium",2019,2019.5,13452.929,13516.377,26969.306,46.355
"149453",454,"Malawi",2,"Medium",2019,2019.5,9185.278,9443.471,18628.749,197.59
"150337",458,"Malaysia",2,"Medium",2019,2019.5,16423.164,15526.625,31949.789,97.245
"151221",462,"Maldives",2,"Medium",2019,2019.5,336.07,194.887,530.957,1769.857
